unique_cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,fov,nas_location,h5_idx,background_p1,background_p3,background_p5,background_p10,background_otsu_thresh,background_mean_otsu,background_median_otsu,background_std_otsu,imageDates,NucGRCorrected,CytGRCorrected,CalcCytoArea,normGRcyt,normGRnuc
15000186,7826,3974.037227,3269.363565,120,1,A,10,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,629.8775513,651.8851255,666.5602582,695.3702851,2039.032976,1004.29133,796.8982374,411.7062796,20230516,3213.05824792685,2643.32087697245,14127.769357631912,20,9
15000197,8542,3214.550534,2301.727663,120,1,A,11,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,627.2167185,649.0119423,663.4490772,692.0019474,2136.821898,1046.560345,803.8587566,461.5278523,20230516,2599.0038634951,1860.9752827269,15402.276477318175,10,5
15000199,8809,3389.8509,2369.881104,120,1,A,11,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,627.2167185,649.0119423,663.4490772,692.0019474,2136.821898,1046.560345,803.8587566,461.5278523,20230516,2740.73637747714,1916.07818268009,15944.862906707189,11,6
15000200,7753,4804.798507,2797.1507,120,1,A,11,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,627.2167185,649.0119423,663.4490772,692.0019474,2136.821898,1046.560345,803.8587566,461.5278523,20230516,3884.73901745435,2261.53093540947,14012.59914120958,15,14
15000201,9248,4902.505898,2771.00535,120,1,A,11,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,627.2167185,649.0119423,663.4490772,692.0019474,2136.821898,1046.560345,803.8587566,461.5278523,20230516,3963.7366514984,2240.39209657533,16916.472917954878,15,14
15000202,8128,4397.975518,2763.224742,120,1,A,11,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,627.2167185,649.0119423,663.4490772,692.0019474,2136.821898,1046.560345,803.8587566,461.5278523,20230516,3555.81759936299,2234.10137877872,14633.273462961059,15,11
15000204,8898,4398.049051,2564.188062,120,1,A,11,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,627.2167185,649.0119423,663.4490772,692.0019474,2136.821898,1046.560345,803.8587566,461.5278523,20230516,3555.87705170292,2073.1777613629,16133.85140067121,13,11
15000206,7532,3823.012862,2345.89936,120,1,A,12,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,621.0859641,643.5791341,658.5036308,687.752176,2220.905077,1083.721375,828.3348944,483.5162236,20230516,3090.95318099282,1896.68864605589,13680.597754048358,10,8
15000209,8558,4118.919385,2560.369844,120,1,A,12,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,621.0859641,643.5791341,658.5036308,687.752176,2220.905077,1083.721375,828.3348944,483.5162236,20230516,3330.19726453611,2070.09068488713,15433.760991341527,13,10
15000210,8729,4864.86652,2876.397248,120,1,A,12,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,621.0859641,643.5791341,658.5036308,687.752176,2220.905077,1083.721375,828.3348944,483.5162236,20230516,3933.30474887099,2325.60274956893,15778.453234796603,16,14
15000214,9395,3851.584116,2528.87023,120,1,A,12,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,621.0859641,643.5791341,658.5036308,687.752176,2220.905077,1083.721375,828.3348944,483.5162236,20230516,3114.05339321394,2044.62285738879,17263.91221634288,12,8
15000215,8547,3883.728639,2562.152424,120,1,A,12,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,621.0859641,643.5791341,658.5036308,687.752176,2220.905077,1083.721375,828.3348944,483.5162236,20230516,3140.04263761485,2071.53192286364,15412.101281483616,13,8
